Date,Open,High,Low,Close,Volume,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MFI_14,ADX_14,DMP_14,DMN_14,ATRr_14,SMA_20,CMF_20,pctile_20,close_sma20_ratio,vol_zscore_20,vol_ma_ratio_20,bb_percent,bb_width,gap_over_atr,ret_z_5,vol_pctile_20,atr_rank,five_day_long_profit,five_day_class
2020-07-02,119.49492424159295,120.41517621294943,118.99381289799294,119.41292572021484,731300,,,,,,,,,,,,,,,,,,,,,0.005730069206153735,Flat
2020-07-06,120.84342459763832,122.01877859496336,118.7660450422948,119.39471435546876,551900,,,,,,,,,,,,,,,,,,,,,0.020882733398789467,Buy
2020-07-07,118.67494855969488,119.84119646210968,117.88226813144604,118.7296142578125,693700,,,,,,,,,,,,,,,,,,,,,0.03404905184540263,Buy
2020-07-08,118.8115879691008,120.442521770135,118.4562471028436,120.05072784423828,673400,,,,,,,,,,,,,,,,,,,,,0.020631713124335024,Buy
2020-07-09,119.67717893441038,119.98696043936678,117.31733678066314,119.0758285522461,714000,,,,,,,,,,,,,,,,,,-0.5256857004635311,,,0.0562811938923024,Strong Buy
2020-07-10,119.31270204887214,121.55409231179723,119.12137216344688,121.5358657836914,715700,,,,,,,,,,,,,,,,,,1.6066724632158838,,,0.06324356527982135,Strong Buy
2020-07-13,121.01654165218348,122.4652379888842,120.42429759499538,121.15320587158205,983800,,,,,,,,,,,,,,,,,,0.845543951831552,,,0.047066268748604694,Buy
2020-07-14,121.57231069930783,123.21235073738036,121.0438664840988,122.85700988769533,1170400,,,,,,,,,,,,,,,,,,1.3313041772189194,,,0.045777826921829606,Buy
2020-07-15,123.00279025504464,123.77725782886864,121.54497384647038,122.14632415771484,918700,,,,,,,,,,,,,,,,,,0.5553161568512035,,,0.07281973326379544,Strong Buy
2020-07-16,122.11899996941833,126.09153536635536,121.69076689041052,126.02776336669922,1100100,,,,,,,,,,,,,,,,,,1.687668174350648,,,0.04297417451216617,Buy
2020-07-17,126.5744528715624,128.95250789318666,126.11888688200044,128.67005920410156,786700,,,,,,,,,,,,,,,,,,1.4479256179325617,,,0.02598311282922166,Buy
2020-07-20,128.3420620510702,130.1460996303942,126.6382495540849,127.29426574707033,696000,,,,,,,,,,,,,,,,,,0.672905080213556,,,0.03240340582156614,Buy
2020-07-21,127.37623817186751,129.26227391281404,126.93889876716192,128.6335906982422,566900,,,,,,,,,,,,,,,,,,0.7714615498600705,,,0.031434079433548305,Buy
2020-07-22,128.40583472227306,131.64035632035666,127.74983242870462,131.0116729736328,608000,,,-4.389321294867821,86.66624524971786,,,,,,,,,,,,,,1.4465847044422708,,,0.02294902096398613,Buy
2020-07-23,131.81343539050545,132.85212508287108,131.12098022985097,132.01388549804688,719300,,,-5.395886757626878,87.6045388107782,,44.681330469103074,3.6491317485560044,2.746613313977682,,,,,,,,,0.29190946275269863,1.2894394385961259,,,0.011241501638572942,Flat
2020-07-24,132.11412775677329,132.9979268270919,130.47408752820425,131.67678833007812,834100,93.92982694218205,,-8.425311120959156,80.10469957473106,,40.272509335221685,5.8181680300664835,2.722897907367053,,,,,,,,,0.036814549107844236,0.7522346848107478,,,0.01565528953680285,Flat
2020-07-27,132.1141187830056,132.94325210651516,130.92964459267318,131.503662109375,833000,92.21647041401228,,-9.529390879377143,86.29171182971325,,37.12504257938618,5.363453616766109,2.6499456585853856,,,,,,,,,0.16503374380927585,0.395638595089795,,,0.02210180086658044,Buy
2020-07-28,131.09368240383128,133.27128742398062,131.09368240383128,132.44215393066406,724700,92.28275204643,92.80968313420811,-5.197041860373652,86.43766159477987,,35.28455218034286,4.915995012381758,2.6028443752647985,,,,,,,,,-0.15751218529997987,1.3243710980311263,,,0.010689098716884003,Flat
2020-07-29,132.9706013713575,134.99331544853837,132.9523748392578,134.8384246826172,811300,94.76589649730634,93.08837298591622,-0.9758777683301689,92.47284376454982,,38.35251087901409,4.447828937149844,2.597832408318963,,,,,,,,,0.20341860352546565,1.725484967482874,,,0.002928693123685267,Flat
2020-07-30,133.77240624400685,134.82930879261275,132.8886070962072,133.5992889404297,591000,94.75288292376395,93.9338438225001,-9.568431600004335,86.9907064716462,,35.56478893637869,4.362248762916106,2.5365563084132963,126.10338859558105,0.19136049207794328,0.92113440877578,0.05944249736926821,-1.0819173691028225,0.766338174273859,0.8398642569514603,17.490070271719663,-0.42026208331135917,0.5614643757782584,0.15,,0.005197709054927563,Flat
2020-07-31,133.21660594064497,135.31219826274798,132.5605898371583,134.18240356445312,793400,93.84583102495111,94.4548701486738,-7.918197556812201,86.87272788038207,,33.77264839700801,3.928300742487553,2.556431832632046,126.84186248779297,0.2191281901347557,0.9372157046377018,0.05787159643265727,0.11478678725670216,1.0246608248687532,0.8302233509031419,17.52498612662664,-0.1496941928589263,0.6480191286323832,0.65,,0.01897904684641605,Flat
